,Ref,geometry,Number of Charging Points,Number of Slow Charging Points,Number of Fast Charging Points,Number of Rapid Charging Points,Number of PoI,Number of Potential Locations,Distance from Centre,NEIGHBORS,Demand_0,Demand_1,Demand_2,Demand_3,x,y,Demand_0 (Full Electric),Demand_0 (PHEV),Demand_1 (Full Electric),Demand_1 (PHEV),Demand_2 (Full Electric),Demand_2 (PHEV),Demand_3 (Full Electric),Demand_3 (PHEV)
60,61.0,"POLYGON ((-3.07100045875361 56.46287014934428, -3.071138373082625 56.46776798747282, -3.062290178162828 56.46784402562987, -3.062153402281624 56.46294617346751, -3.07100045875361 56.46287014934428))",0.0,0.0,0.0,0.0,0.0,2.0,6008.38028581762,"[46, 47, 48, 60, 62, 74, 75, 76]",0.0,75.19580263883192,156.5261677432825,248.5023913243176,5.0,5,0.0,0.0,1.0742257519833132,0.7161505013222088,2.2360881106183217,1.4907254070788811,3.550034161775966,2.3666894411839774
74,75.0,"POLYGON ((-3.062153402281623 56.46294617346751, -3.062290178162828 56.46784402562987, -3.053441940273539 56.46791943335372, -3.053306302858719 56.46302156727385, -3.062153402281623 56.46294617346751))",0.0,0.0,0.0,0.0,0.0,3.0,5463.7172474456,"[60, 61, 62, 74, 76, 88, 89, 90]",0.0,75.39986180474463,169.1992491593538,309.5685021959146,5.0,6,0.0,0.0,1.0771408829249234,0.7180939219499489,2.4171321308479112,1.6114214205652742,4.422407174227351,2.948271449484901
75,76.0,"POLYGON ((-3.062290178162828 56.46784402562987, -3.062426997013555 56.47274187368577, -3.053577620300416 56.47281729533072, -3.053441940273539 56.46791943335372, -3.062290178162828 56.46784402562987))",0.0,0.0,0.0,0.0,1.0,4.0,5517.60949031113,"[61, 62, 63, 75, 77, 89, 90, 91]",924.2310529953917,924.2310529953917,961.2798332853475,1060.216621668643,6.0,6,13.203300757077024,8.802200504718016,13.203300757077024,8.802200504718016,13.732569046933534,9.155046031289023,15.145951738123472,10.097301158748982
76,77.0,"POLYGON ((-3.062426997013555 56.47274187368577, -3.06256385885239 56.47763971763539, -3.053713342957778 56.47771515320503, -3.053577620300416 56.47281729533072, -3.062426997013555 56.47274187368577))",0.0,0.0,0.0,0.0,0.0,1.0,5624.096314913151,"[62, 63, 64, 76, 78, 90, 91, 92]",0.0,75.09377305587557,162.5291263938796,277.1918224114263,7.0,6,0.0,0.0,1.0727681865125083,0.7151787910083388,2.321844662769709,1.5478964418464725,3.9598831773060903,2.63992211820406
87,88.0,"POLYGON ((-3.053170708037534 56.45812369709087, -3.053306302858719 56.46302156727385, -3.044459160842207 56.46309633075683, -3.044324704148503 56.45819844677619, -3.053170708037534 56.45812369709087))",0.0,0.0,0.0,0.0,0.0,3.0,4919.475929624508,"[73, 74, 75, 87, 89, 101, 102, 103]",0.0,0.0,84.8112611900464,288.0340005239119,4.0,7,0.0,0.0,0.0,0.0,1.2115894455720913,0.8077262970480609,4.114771436055884,2.7431809573705896
88,89.0,"POLYGON ((-3.053306302858719 56.46302156727385, -3.053441940273539 56.46791943335372, -3.044593659772223 56.46799421063793, -3.044459160842207 56.46309633075683, -3.053306302858719 56.46302156727385))",0.0,0.0,0.0,0.0,0.0,13.0,4919.188470203242,"[74, 75, 76, 88, 90, 102, 103, 104]",0.0,75.09377305587557,270.6487503091058,662.756544957555,5.0,7,0.0,0.0,1.0727681865125083,0.7151787910083388,3.8664107187015118,2.5776071458010077,9.467950642250786,6.311967094833857
89,90.0,"POLYGON ((-3.053441940273539 56.46791943335372, -3.053577620300416 56.47281729533072, -3.044728200956818 56.47289208641969, -3.044593659772223 56.46799421063793, -3.053441940273539 56.46791943335372))",0.0,0.0,0.0,0.0,0.0,6.0,4978.978161522445,"[75, 76, 77, 89, 91, 103, 104, 105]",0.0,75.24681743031012,247.3422145551156,625.922174920087,6.0,7,0.0,0.0,1.074954534718716,0.7166363564791439,3.5334602079302226,2.3556401386201484,8.941745356001242,5.961163570667495
90,91.0,"POLYGON ((-3.053577620300416 56.47281729533072, -3.053713342957778 56.47771515320503, -3.044862784414268 56.4777899581023, -3.044728200956818 56.47289208641969, -3.053577620300416 56.47281729533072))",0.0,0.0,0.0,0.0,2.0,4.0,5096.73114895868,"[76, 77, 78, 90, 92, 104, 105, 106]",0.0,76.64955527280937,202.6111339139578,544.3692372665807,7.0,7,0.0,0.0,1.0949936467544195,0.7299957645029463,2.894444770199397,1.929629846799598,7.7767033895225826,5.184468926348388
100,101.0,"POLYGON ((-3.044190289672857 56.4533005586958, -3.044324704148503 56.45819844677619, -3.035478658041443 56.45827256624801, -3.035345381354356 56.45337466448976, -3.044190289672857 56.4533005586958))",0.0,0.0,0.0,0.0,0.0,1.0,4442.921760834454,"[86, 87, 88, 100, 102, 114, 115, 116]",0.0,0.0,72.23001658269742,241.8211490949761,3.0,8,0.0,0.0,0.0,0.0,1.0318573797528203,0.6879049198352135,3.454587844213944,2.303058562809296
101,102.0,"POLYGON ((-3.044324704148503 56.45819844677619, -3.044459160842206 56.46309633075683, -3.035611976589411 56.46317046391005, -3.035478658041443 56.45827256624801, -3.044324704148503 56.45819844677619))",0.0,0.0,0.0,0.0,0.0,3.0,4375.167312436244,"[87, 88, 89, 101, 103, 115, 116, 117]",0.0,444.6315721382473,968.1722784484513,1627.425046129838,4.0,8,0.0,0.0,6.351879601974961,4.2345864013166405,13.83103254926359,9.220688366175727,23.248929230426256,15.499286153617504
