Ref,S1,F1,R1,S2,F2,R2,S3,F3,R3,S4,F4,R4
61,0,0,0,0,1,0,0,1,0,0,1,0
75,1,0,0,1,0,0,1,0,0,1,0,0
76,0,1,0,1,1,0,1,1,0,1,1,0
77,0,0,0,0,1,0,0,1,0,0,1,0
88,0,0,0,0,0,0,1,0,1,1,0,1
89,0,0,0,1,0,0,1,0,0,1,0,0
90,0,0,0,1,0,0,1,0,0,1,0,0
91,1,0,0,1,0,0,1,0,0,1,0,0
101,0,0,0,0,0,0,1,0,0,1,0,0
102,1,0,0,1,1,0,1,1,0,1,1,1
103,1,0,0,1,0,0,1,1,0,1,1,0
104,0,0,0,1,1,0,1,1,0,1,1,0
105,0,0,0,0,0,0,1,0,0,1,1,0
106,0,0,0,0,0,0,1,0,0,1,0,0
107,0,0,0,0,0,0,1,0,0,1,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,1,0,0,1,0,0
116,0,0,0,1,1,0,1,1,1,1,1,1
117,2,2,0,2,2,0,2,2,0,2,2,0
119,2,2,0,2,2,0,2,2,0,2,3,0
121,0,0,0,1,1,0,1,2,0,1,3,0
123,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,1,0,0,1,0,0
134,0,2,2,0,2,2,0,2,2,0,3,2
143,0,0,0,0,0,0,2,0,0,2,0,0
144,0,0,0,1,0,0,1,0,0,1,0,0
145,0,0,0,1,0,0,1,0,0,2,0,0
146,1,2,0,1,2,0,3,2,0,3,2,0
147,1,0,1,1,0,1,1,0,1,1,0,1
148,0,0,0,0,0,1,0,0,1,0,0,1
149,0,0,0,0,1,0,0,1,0,0,1,0
150,1,0,0,1,0,0,1,0,0,1,0,0
156,0,0,0,0,1,0,0,1,0,0,1,0
157,0,1,0,0,1,0,0,1,0,0,1,0
159,1,0,0,1,0,0,1,0,0,1,0,0
160,3,0,1,3,0,1,3,0,1,3,0,1
161,0,0,0,1,1,0,1,1,0,1,2,0
162,0,0,0,0,1,0,0,1,0,0,1,0
163,1,0,0,1,0,0,1,0,0,1,0,0
164,0,0,0,1,0,0,1,0,0,1,0,0
171,0,0,0,0,0,0,1,1,0,2,1,0
172,0,0,1,0,1,1,0,1,1,0,1,1
173,2,0,0,2,0,0,2,0,0,2,0,0
175,2,0,0,2,1,0,2,1,1,2,1,1
176,1,1,0,1,1,0,3,2,0,3,2,1
177,0,0,0,0,1,0,0,1,0,0,1,0
178,0,0,0,0,1,0,0,1,0,0,1,0
184,0,0,0,0,1,0,0,1,1,0,1,1
