Ref,S1,F1,R1,S2,F2,R2,S3,F3,R3,S4,F4,R4
61,0,0,0,0,1,0,0,1,0,0,1,0
75,1,0,0,1,1,0,1,1,0,1,1,0
76,1,1,0,1,1,0,1,1,0,1,1,0
77,0,0,0,1,0,0,1,0,0,1,0,0
88,0,0,0,0,0,0,1,0,0,1,0,0
89,1,0,0,1,0,0,1,0,0,1,0,0
90,1,0,0,1,0,0,1,0,0,1,0,0
91,1,0,0,1,0,0,1,0,0,1,0,0
101,0,0,0,0,0,0,1,0,0,1,0,0
102,1,0,0,1,0,0,1,0,0,1,0,0
103,0,0,0,1,0,0,1,0,0,1,0,0
104,1,0,0,1,0,0,1,0,0,1,0,0
105,0,0,0,0,0,0,1,1,0,1,1,0
106,0,0,0,0,0,0,1,0,0,1,0,0
107,0,0,0,0,0,0,1,0,0,1,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,0,1,0,0,1,0,0,1,0,0
116,0,0,0,1,0,0,1,0,0,1,0,0
117,2,0,0,2,1,0,2,1,0,2,1,0
119,1,0,0,1,1,0,2,1,0,3,1,0
121,0,0,0,0,1,0,0,2,0,1,3,0
123,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,1,0,0,1,0,0
134,1,2,1,1,2,1,1,2,1,1,2,2
143,0,0,0,0,0,0,1,0,0,1,0,0
144,1,0,0,1,0,0,1,0,0,1,0,0
145,1,0,0,1,0,0,1,0,0,2,0,0
146,1,1,0,1,1,0,1,1,0,3,1,0
147,1,0,1,1,0,1,1,0,1,1,0,1
148,0,0,0,0,0,1,0,0,1,0,0,1
149,0,0,0,0,1,0,0,1,0,0,1,0
150,1,0,0,1,0,0,1,0,0,1,0,0
156,0,0,0,0,0,0,0,0,0,1,0,0
157,0,0,0,0,0,0,1,0,0,1,0,0
159,1,0,0,1,0,0,1,0,0,1,0,0
160,3,0,1,3,0,1,3,0,1,3,0,1
161,1,1,0,1,1,0,1,1,0,1,1,1
162,0,0,0,0,1,0,0,1,0,0,1,0
163,1,0,0,1,0,0,1,0,0,1,0,0
164,0,0,0,1,0,0,1,0,0,1,0,0
171,0,0,0,0,0,0,1,0,0,2,0,0
172,1,0,0,1,0,0,1,0,0,1,1,0
173,2,0,0,2,0,0,2,0,0,2,0,0
175,0,1,0,2,1,0,2,2,0,2,3,0
176,2,0,0,2,1,0,3,1,0,4,1,0
177,0,0,0,0,1,0,0,1,0,0,1,0
178,0,0,0,0,1,0,0,1,0,0,1,0
184,1,0,0,1,0,1,1,0,1,1,0,1
185,3,0,0,5,0,0,5,0,0,5,1,1
186,2,0,0,2,0,0,9,0,0,9,0,0
187,0,2,0,1,2,0,1,2,0,1,2,0
188,0,0,0,0,1,0,0,1,1,0,1,1
189,6,0,1,6,0,1,6,0,1,6,0,1
190,2,0,1,2,0,1,2,0,1,2,0,1
191,0,0,0,1,0,0,2,0,0,2,0,0
192,0,0,0,0,0,0,1,0,0,1,0,0
198,0,0,0,0,1,0,0,1,1,0,1,1
199,2,1,1,2,1,1,2,3,1,3,3,2
200,6,2,0,6,2,1,6,2,1,6,2,1
201,0,0,0,1,0,1,1,0,1,1,0,1
202,0,0,0,1,0,0,2,0,0,2,0,1
203,0,0,0,0,1,0,0,1,1,0,1,1
205,0,0,0,0,1,0,0,1,0,0,1,0
206,0,0,0,0,0,0,0,1,0,0,1,0
213,3,0,0,3,0,0,5,1,0,5,1,1
214,0,3,1,0,3,1,0,3,1,0,3,1
215,0,0,0,0,1,0,0,1,1,0,1,1
216,0,0,0,0,1,0,0,1,0,0,1,0
217,0,0,0,0,0,0,0,1,0,0,1,0
228,2,0,1,2,0,1,2,0,1,2,0,1
229,1,0,0,2,0,0,3,0,0,3,0,1
230,0,0,0,0,1,0,0,1,0,0,1,0
233,0,0,0,0,0,0,1,0,0,1,0,0
234,0,0,0,0,0,0,1,0,0,1,0,0
242,0,0,0,0,1,0,0,1,0,0,1,0
246,0,0,0,0,0,0,0,0,0,1,0,0
247,0,0,0,0,0,0,1,0,0,1,0,0
248,1,0,0,1,0,0,1,0,0,1,0,0
249,1,0,0,1,0,0,1,0,0,1,0,0
263,1,0,1,1,0,1,1,0,1,1,0,1
272,0,0,0,0,0,0,1,0,0,1,0,0
274,1,0,0,1,0,0,1,0,0,1,0,0
275,1,0,0,1,0,0,1,0,0,1,0,0
286,0,0,0,1,0,0,1,0,0,1,0,0
287,1,0,0,1,0,0,1,0,0,1,0,0
288,1,0,0,1,0,0,1,0,0,1,0,0
290,1,0,0,1,0,0,1,0,0,1,0,0
291,0,0,0,1,0,0,1,0,0,1,0,0
299,1,0,0,1,0,0,1,0,0,1,0,0
300,1,0,0,1,0,0,1,0,0,1,0,0
301,1,0,0,1,0,0,1,0,0,1,0,0
304,2,0,0,2,0,0,2,0,0,2,0,0
316,1,0,0,1,0,0,1,0,0,1,0,0
327,0,0,0,0,0,0,0,0,0,1,0,0
328,0,0,0,0,0,0,0,0,0,0,1,0
331,0,0,0,0,0,0,1,0,0,1,0,0
342,0,0,0,1,0,0,1,0,0,1,0,0
343,0,0,0,0,1,0,0,1,0,0,1,0
345,0,0,0,0,0,0,0,0,0,1,0,0
355,1,0,0,1,1,0,1,1,1,1,1,1
356,0,0,0,0,1,0,0,1,0,0,1,0
369,1,2,1,1,2,2,1,2,2,1,2,2
382,0,0,0,0,1,0,0,1,0,0,1,0
385,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,1,0,0,1,0,0
